dataset_use_id,paper_id,task_id,dataset_id,paper_file,db_title,original_db_title,db_description,db_link,rd_stages
dataset_use_cf5af77f0164,paper_cd925085a1df,task_49a79df78a99,dataset_3d1fc9ebc1ce,16_OOD_Generalization_Materials.pdf,JARVIS Database,JARVIS (Joint Automated Repository for Various Integrated Simulations),"A database of ~76k DFT-computed materials properties, including formation energies and crystal structures, curated from multiple sources and standardized for materials informatics. It is used alongside MP and OQMD to ensure robust conclusions across data distributions; specifically, it supports chemistry- and structure-based OOD evaluations (e.g., leave-Mg-out, leave-O-out) and UMAP-based representational domain analysis for formation energy prediction.",https://jarvis.nist.gov,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_67179fd578bb,paper_cd925085a1df,task_49a79df78a99,dataset_f6b0e6dabd69,16_OOD_Generalization_Materials.pdf,Open Quantum Materials Database,OQMD (Open Quantum Materials Database),"A large-scale ab initio database of ~1M predicted stable and metastable inorganic compounds, with formation energies, crystal structures, and elemental compositions. Its scale (~10× larger than MP) enables rigorous scaling analysis: the paper uses it to validate learning curves (training set size and time effects) on representationally OOD tasks (e.g., leave-H-out), confirm domain misidentification biases, and demonstrate adverse scaling behavior where increased data degrades OOD performance.",https://oqmd.org,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_7f67e60ee559,paper_0accd46e95fd,task_e097cf9a59e5,dataset_bad7a184ddcb,17_Known_Unknowns_OOD.pdf,AFLOW,AFLOW,"AFLOW is a high-throughput computational database containing ~14,000 solid materials with stoichiometric compositions and associated property values derived from density functional theory calculations. It includes six curated properties: band gap, bulk modulus, Debye temperature, shear modulus, thermal conductivity, and thermal expansion (the latter four log-scaled). In this paper, AFLOW is used to train and evaluate OOD property predictors on composition-based regression tasks, specifically to assess zero-shot extrapolation performance beyond the upper range of training property values during virtual screening of high-performing solids.",https://aflowlib.org,Candidate Space Construction; Dataset Selection; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_4148911e842f,paper_0accd46e95fd,task_e097cf9a59e5,dataset_3ee88ee61ae1,17_Known_Unknowns_OOD.pdf,Matbench,Matbench,"Matbench is an automated benchmark suite for materials property prediction, containing three composition-based experimental and computational regression tasks: experimentally measured band gap (2,154 samples), experimentally measured yield strength of steels (312 samples), calculated formation energy (37,217 samples), and calculated refractive index (4,764 samples). In this paper, Matbench is used to evaluate OOD extrapolation capability across diverse property types and data sources (experimental vs. computational), supporting the task of identifying top-performing candidates whose property values exceed the training distribution.",https://matbench.materialsproject.org,Problem Definition; Dataset Selection; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_f4a7ca4a65b4,paper_0accd46e95fd,task_e097cf9a59e5,dataset_d55b16e3041b,17_Known_Unknowns_OOD.pdf,Materials Project,Materials Project (MP),"The Materials Project is a high-throughput computational database providing thermodynamic and mechanical properties for over 100,000 inorganic compounds, derived from DFT calculations. The paper uses a subset of 6,184–6,331 entries focused on bulk modulus, shear modulus, and elastic anisotropy — retaining the lowest-formation-enthalpy entry for duplicate compositions. This dataset supports the OOD property prediction task by enabling evaluation on large-scale, composition-driven mechanical property extrapolation under realistic database screening conditions.",https://materialsproject.org,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_648bb8665f99,paper_0accd46e95fd,task_e097cf9a59e5,dataset_c9e7ecfca1a5,17_Known_Unknowns_OOD.pdf,MoleculeNet,MoleculeNet,"MoleculeNet is a collection of molecular datasets for machine learning, used here for four graph-to-property regression tasks: ESOL (1,128 small molecules with aqueous solubility), FreeSolv (643 molecules with experimental and calculated hydration free energies), Lipophilicity (4,200 molecules with octanol/water distribution coefficients), and BACE (1,513 molecules with binding affinities to human β-secretase 1). These datasets provide SMILES strings and experimentally or computationally derived property values, and are used to train and evaluate the transductive OOD predictor for molecular property extrapolation — specifically to screen for molecules with extreme (top 30%) property values beyond the training support.",https://moleculenet.org,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_6abcf98e93f6,paper_068c396e3b41,task_241faca80cb0,dataset_fed40cdb3663,19_DTNet_Dielectric_Tensor.pdf,Materials Project (v2023.11.1) Dielectric Dataset,Materials Project (v2023.11.1) Dielectric Dataset,"A DFT-calculated dataset of 7,277 inorganic crystal structures with computed dielectric tensors, sourced from the Materials Project database. It contains three components per material: electronic dielectric tensor (ε∞), ionic dielectric tensor (ε⁰), and their sum (total ε), each as symmetric 3×3 tensors. After cleaning—removing entries with any tensor element outside [−10, 100] and structures containing elements unsupported by PFP—6,648 structures remained. This dataset is used to train and evaluate the DTNet model for equivariant dielectric tensor prediction across 72 elements and all crystal systems.",https://next-gen.materialsproject.org/api,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Benchmarking / Evaluation
dataset_use_a9c60cb9113f,paper_068c396e3b41,task_241faca80cb0,dataset_f5fc3794aeae,19_DTNet_Dielectric_Tensor.pdf,matbench_dielectric,Matbench Dielectric Task,"A benchmark subset of Materials Project structures curated for dielectric property prediction, where the target property is the refractive index η (related to the electronic dielectric constant via η = √ε∞). The dataset includes ~1,000–2,000 structures (exact size not specified but drawn from MP) and is used exclusively for out-of-distribution benchmarking—evaluating DTNet’s generalization by predicting ε∞ and computing η from predicted tensors. It supports model validation and leaderboard comparison against state-of-the-art methods like MODNet.",https://matbench.materialsvirtuallab.org/,Problem Definition; Dataset Selection; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_af6839f5e534,paper_e25217f4266d,task_78314418eccc,dataset_19d1b1004506,20_GMTNet.pdf,JARVIS-DFT,JARVIS-DFT dataset,"A curated collection of DFT-computed crystal tensor properties sourced from the JARVIS-DFT database, containing 4,713 dielectric tensors (unitless relative dielectric constants), 4,998 piezoelectric tensors (in C/m²), and 14,220 elastic tensors (in GPa), each paired with its corresponding crystal structure (atomic positions, lattice vectors, and elemental features). The dataset is constructed by extracting both tensor values and structures directly from consistent DFT calculation files to guarantee alignment between structural symmetry and tensor symmetry constraints, and is used to train and evaluate GMTNet’s ability to predict symmetry-respecting tensors.",https://jarvis.nist.gov/,Dataset Selection; Representation / Feature Construction; Screening / Prediction
dataset_use_82bf6a79848a,paper_7eb9d3cfd258,task_b2fdc1e458d6,dataset_3d1fc9ebc1ce,21_ComFormer.pdf,JARVIS Database,JARVIS,"JARVIS is a curated dataset of crystalline materials containing over 69,000 structures with computed properties such as formation energy, total energy, bandgap (OPT and MBJ), and energy above hull. It includes both experimentally observed and computationally predicted structures. In this paper, JARVIS is used to train and evaluate the ComFormer models on five regression tasks, with specific train/validation/test splits (e.g., 44,578/5,572/5,572 for formation energy), and serves to validate the model's ability to predict diverse material properties using geometrically complete crystal graphs.",https://jarvis.nist.gov/,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_968aa5ac5584,paper_7eb9d3cfd258,task_b2fdc1e458d6,dataset_d55b16e3041b,21_ComFormer.pdf,Materials Project,The Materials Project,"The Materials Project is a large-scale database of computationally derived materials properties, containing over 100,000 crystalline structures with DFT-calculated properties including formation energy, band gap, bulk modulus, and shear modulus. The paper uses a specific version (MP-2018.6.1) with standardized data splits (e.g., 60,000/5,000/4,239 for formation energy) to benchmark ComFormer against prior methods, demonstrating its effectiveness on medium-scale tasks and robustness with limited training samples (e.g., only 4,664 samples for bulk/shear moduli).",https://materialsproject.org/,Dataset Selection; Model Training; Screening / Prediction
dataset_use_339a4297cb4d,paper_7eb9d3cfd258,task_b2fdc1e458d6,dataset_3ee88ee61ae1,21_ComFormer.pdf,Matbench,MatBench,"MatBench is a standardized benchmark for materials property prediction, featuring tasks across vastly different scales and complexities. In this work, two MatBench tasks are used: 'e_form' (132,752 crystals) for large-scale evaluation and 'jdft2d' (636 2D crystals) for small-scale, challenging evaluation. These datasets test the scalability and generalizability of ComFormer, particularly its ability to handle extremely large datasets and sparse, low-data regimes, with performance reported using MAE and RMSE metrics.",https://matbench.materialsproject.org/,Dataset Selection; Screening / Prediction; Benchmarking / Evaluation
dataset_use_d310d33bda1b,paper_1572685de644,task_862fa2410163,dataset_d55b16e3041b,22_Crystalformer.pdf,Materials Project,Materials Project (MEGNet),"A collection of 69,239 DFT-calculated crystalline materials from the Materials Project database, curated by Chen et al. (2019). It contains crystal structures (unit cell coordinates, species, lattice vectors) and associated quantum-mechanically computed properties: formation energy, bandgap, bulk modulus, and shear modulus. In this paper, it is used to train and evaluate Crystalformer for regression on these four properties using consistent train/validation/test splits.",https://materialsproject.org/,Dataset Selection; Representation / Feature Construction; Screening / Prediction
dataset_use_394c5b165816,paper_1572685de644,task_862fa2410163,dataset_19d1b1004506,22_Crystalformer.pdf,JARVIS-DFT,JARVIS-DFT (3D 2021),"A dataset of 55,723 DFT-computed crystalline materials compiled by Choudhary et al. (2020), available via the JARVIS platform. It includes unit-cell structural data (atomic positions, species, lattice vectors) and properties: formation energy, total energy, bandgap (computed with two functionals: OPT and MBJ), and energy above hull (E_hull). The paper uses it for regression benchmarking across five property prediction tasks, following standardized splits established in prior work (e.g., Yan et al., 2022).",https://jarvis.nist.gov/,Dataset Selection; Screening / Prediction; Benchmarking / Evaluation
dataset_use_8fe9915f1b57,paper_0010b7688bb5,task_1f1a85917ec8,dataset_19d1b1004506,23_CrysDiff.pdf,JARVIS-DFT,JARVIS-DFT,"A publicly available materials database containing 55,722 DFT-calculated crystalline materials, each with 19 computed properties including formation energy, bandgap (OPT and MBJ), total energy, Ehull, bulk modulus (Kv), shear modulus (Gv), SLME (%), and spillage. It provides full 3D structural information: atom types (A), fractional coordinates (F), and lattice vectors (L). In this paper, JARVIS-DFT is used exclusively for the downstream fine-tuning and evaluation phase — i.e., to train and test the crystal property prediction models on nine target properties under standard train/val/test splits (80%/10%/10%).",https://jarvis.nist.gov/,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction
dataset_use_d28fd2df6bc1,paper_0010b7688bb5,task_1f1a85917ec8,dataset_d55b16e3041b,23_CrysDiff.pdf,Materials Project,Materials Project (MP),"A large-scale computational materials database containing over 100,000+ DFT-optimized crystal structures, each annotated with structural metadata (space group, lattice parameters, atomic positions) and computed properties. In this paper, MP contributes ~800K untagged crystal graph data (i.e., structures without property labels) used solely for self-supervised pre-training of CrysDiff via crystal structure reconstruction — enabling learning of latent marginal distributions p(F, L | A) without supervision.",https://materialsproject.org/,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction
dataset_use_eb7b12844189,paper_0010b7688bb5,task_1f1a85917ec8,dataset_f6b0e6dabd69,23_CrysDiff.pdf,Open Quantum Materials Database,OQMD (Open Quantum Materials Database),"A high-throughput DFT database containing ~400,000+ predicted crystal structures and their computed thermodynamic properties (e.g., formation energy). Like MP, it provides full 3D structural representations (A, F, L) but no experimental property labels. In this paper, OQMD contributes the remaining portion (~800K total) of unlabelled crystal structures used for pre-training CrysDiff, alongside MP. It serves the same role as MP: enabling unsupervised learning of crystal geometry distributions via diffusion-based reconstruction.",https://oqmd.org/,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_12bede9081fa,paper_0010b7688bb5,task_1f1a85917ec8,dataset_f6b0e6dabd69,23_CrysDiff.pdf,Open Quantum Materials Database,OQMD-EXP,"A small experimental subset of OQMD containing 1,500 experimentally measured formation energies for crystalline materials — curated from literature and validated against synthesis outcomes. This dataset is used only in the experimental validation phase to assess how well CrysDiff mitigates DFT calculation bias: models are fine-tuned on combinations of DFT data (from JARVIS-DFT or OQMD) plus varying percentages (20% or 80%) of OQMD-EXP, then evaluated on held-out experimental formation energy values.",https://oqmd.org/,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_adb846e44575,paper_a9ca0fbfd8f7,task_25b6baf65d50,dataset_d55b16e3041b,24_Structure_Aware_Transfer_Learning.pdf,Materials Project,Materials Project (MP),"A large-scale DFT-computed database containing ~140,000 inorganic crystalline materials with relaxed crystal structures (POSCAR files) and computed properties including formation energy, bandgap, elastic tensors, and more. In this paper, it serves as the *source dataset*: its formation energy labels and 3D crystal structures are used to pre-train the ALIGNN source model for transfer learning across diverse target properties and material classes.",https://materialsproject.org/,Dataset Selection; Model Training; Screening / Prediction
dataset_use_0ee7894cdd6e,paper_a9ca0fbfd8f7,task_25b6baf65d50,dataset_19d1b1004506,24_Structure_Aware_Transfer_Learning.pdf,JARVIS-DFT,JARVIS-3D,"A DFT-computed database of ~55,000 3D crystalline materials with atomic structures and 46 distinct properties (e.g., bulk modulus, dielectric tensor, piezoelectric coefficients, bandgap). It is used as a *target dataset* for evaluating transfer learning performance — specifically, its formation energy, bandgap, and other solid-state properties are predicted using models fine-tuned or feature-extracted from the MP-pretrained ALIGNN model.",https://jarvis.nist.gov,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction
dataset_use_a1488a358518,paper_a9ca0fbfd8f7,task_25b6baf65d50,dataset_9af6a2663ebe,24_Structure_Aware_Transfer_Learning.pdf,JARVIS-2D,JARVIS-2D,"A DFT-computed database of ~1,000–2,000 2D layered materials (e.g., graphene, TMDs) with atomic structures and 32 properties including exfoliation energy, dielectric response, and electronic band structure metrics. It serves as a *target dataset* to test cross-dimensionality transfer learning: the MP-pretrained ALIGNN model is applied to predict properties of 2D materials, enabling evaluation of structural generalization beyond the 3D training domain.",https://jarvis.nist.gov,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Benchmarking / Evaluation
dataset_use_f014ac83730a,paper_a9ca0fbfd8f7,task_25b6baf65d50,dataset_7bc0d43a09a6,24_Structure_Aware_Transfer_Learning.pdf,Harvard Organic Photovoltaic Dataset (HOPV),Harvard Organic Photovoltaic Dataset (HOPV),"A quantum-chemical dataset of 1,000+ organic molecules with SMILES strings and DFT-computed properties (24 total), including HOMO/LUMO energies, bandgaps, and photovoltaic metrics (e.g., scharber PCE, Jsc, Voc) under multiple functionals (B3LYP, PBE0, etc.). It functions as a *target dataset* for cross-material-class transfer learning — testing whether structure-aware features learned from inorganic crystals (MP) generalize to molecular systems for predicting organic electronic properties.",https://ndownloader.figshare.com/files/28814184,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction
dataset_use_9e5287aec96f,paper_a9ca0fbfd8f7,task_25b6baf65d50,dataset_f411da0b16e9,24_Structure_Aware_Transfer_Learning.pdf,Flla,Flla,"A DFT-computed dataset of ~3,900 inorganic compounds with formation energy, hull energy, and atomic relaxation data. Used as a *target dataset* to assess transfer learning robustness across independently computed DFT databases with different computational settings; its properties (e.g., DeltaE, Ehull) are predicted using the MP-pretrained ALIGNN model.",https://github.com/hackingmaterials/automatminer,Dataset Selection; Model Training; Screening / Prediction
dataset_use_ad047471e51a,paper_a9ca0fbfd8f7,task_25b6baf65d50,dataset_4cec85f7e56b,24_Structure_Aware_Transfer_Learning.pdf,Dielectric Constant (DC) Database,Dielectric Constant (DC) Database,"A DFT-computed dataset of ~1,000 inorganic materials with dielectric properties (static/dynamic dielectric tensors, refractive index, polarizability) and structural information. Serves as a *target dataset* for predicting low-data-count dielectric properties (e.g., volume, bandgap, N, poly-electric susceptibility) using transfer learning from MP, enabling validation on physically distinct property types.",https://github.com/hackingmaterials/automatminer,Dataset Selection; Model Training; Screening / Prediction
dataset_use_73b1a9adc6d2,paper_a9ca0fbfd8f7,task_25b6baf65d50,dataset_15268f4f647c,24_Structure_Aware_Transfer_Learning.pdf,Piezoelectric Tensor (PT) Database,Piezoelectric Tensor (PT) Database,"A DFT-computed dataset of ~940 non-centrosymmetric crystals with piezoelectric tensors, volumes, and related structural descriptors. Used as a *target dataset* to evaluate transfer learning on highly anisotropic, symmetry-sensitive properties (e.g., Eij piezoelectric coefficients, volume) where data scarcity limits conventional modeling — predictions rely on features transferred from the MP source model.",https://github.com/hackingmaterials/automatminer,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Benchmarking / Evaluation
dataset_use_c418be32b058,paper_a9ca0fbfd8f7,task_25b6baf65d50,dataset_0e01c8954e53,24_Structure_Aware_Transfer_Learning.pdf,Experimental Formation Energy (EFE),Experimental Formation Energy (EFE),"An experimental dataset of 605 intermetallic compounds with measured formation enthalpies (DeltaE) derived from calorimetry. Functions as a *target dataset* to validate transfer learning on real-world experimental data — the MP-pretrained ALIGNN model is adapted to predict experimental formation energies, bridging computation-to-experiment gaps.",https://github.com/hackingmaterials/automatminer,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_11fc222081ba,paper_a9ca0fbfd8f7,task_25b6baf65d50,dataset_9cdd86c92052,24_Structure_Aware_Transfer_Learning.pdf,Kingsbury Experimental Formation Energy (KEFE),Kingsbury Experimental Formation Energy (KEFE),"An experimental dataset of 1,557 inorganic compounds with measured formation enthalpies, curated from literature sources. Used as a *target dataset* to further test transfer learning on experimental thermodynamics data — its DeltaE values are predicted using fine-tuning or feature extraction from the MP source model, demonstrating generalization beyond DFT artifacts.",https://github.com/hackingmaterials/automatminer,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_91e22e8a1796,paper_a9ca0fbfd8f7,task_25b6baf65d50,dataset_de06b5abdabd,24_Structure_Aware_Transfer_Learning.pdf,Kingsbury Experimental Bandgap (KEB),Kingsbury Experimental Bandgap (KEB),"An experimental dataset of 2,432 inorganic semiconductors and insulators with measured optical bandgaps. Serves as a *target dataset* for experimental electronic property prediction — the MP-pretrained ALIGNN model is transferred to predict experimental bandgaps, assessing robustness against measurement noise and methodology differences.",https://github.com/hackingmaterials/automatminer,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_173b4b3d221e,paper_a54c14466f4e,task_16fde01f7b15,dataset_b4597821bf19,25_ChargE3Net.pdf,Materials Project (MP) charge density dataset,Materials Project (MP) charge density dataset,"A large-scale, publicly available dataset containing DFT-computed electron charge densities on 3D grids for 108,683 inorganic crystalline materials, covering diverse compositions, crystal systems, and space groups across the periodic table. It was used to train and evaluate ChargE3Net for generalizable, high-fidelity charge density prediction — specifically to support the task of initializing DFT calculations and reducing self-consistent field (SCF) iterations on unseen bulk materials.",https://api.materialsproject.org,Dataset Selection; Screening / Prediction
dataset_use_91e9b63fe83d,paper_a54c14466f4e,task_16fde01f7b15,dataset_f281b31ea1d7,25_ChargE3Net.pdf,QM9 charge density dataset,QM9 charge density dataset,"A dataset of VASP-calculated electron charge densities for 133,845 small organic molecules (with training/validation/test splits of 123,835/50/10,000), derived from the original QM9 molecular database. It contains grid-based charge density values computed at consistent resolution and boundary conditions, and was used to benchmark ChargE3Net’s accuracy on small, isolated molecules — supporting the core task of learning equivariant representations for charge density prediction under molecular symmetry constraints.",https://doi.org/10.11583/DTU.16794500.v1,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Benchmarking / Evaluation
dataset_use_8f147f1ffe05,paper_a54c14466f4e,task_16fde01f7b15,dataset_0dd86632acbe,25_ChargE3Net.pdf,NMC (Nickel Manganese Cobalt) battery cathode dataset,NMC (Nickel Manganese Cobalt) battery cathode dataset,"A dataset of VASP-computed charge densities for 2,000 nickel-manganese-cobalt oxide structures with varying lithium content, sampled from battery cathode material space. It includes training/validation/test splits of 1,450/50/500 and provides charge density grids for crystalline solids with periodic boundary conditions. This dataset was used to evaluate ChargE3Net’s performance on a chemically focused, technologically relevant class of materials — supporting the task of predicting charge densities for transition-metal oxide systems where angular electron correlations are critical.",https://doi.org/10.11583/DTU.16837721.v1,Problem Definition; Dataset Selection; Model Training; Screening / Prediction; Benchmarking / Evaluation
dataset_use_eb7d715612ea,paper_a54c14466f4e,task_16fde01f7b15,dataset_c17327be4ec0,25_ChargE3Net.pdf,GNoME materials dataset (subset),GNoME materials dataset (subset),"A curated subset of 1,924 novel inorganic materials published by Google’s GNoME project, selected to include structures with ≥5 unique elemental species — intentionally out-of-distribution relative to the Materials Project training set. It contains DFT-computed charge densities generated using consistent VASP settings (k-point density, energy cutoff, PAW potentials). This dataset was used to test ChargE3Net’s generalization capability for charge density prediction on previously unseen chemical spaces — directly supporting the task of robust cross-dataset transfer for DFT acceleration beyond the training domain.",https://doi.org/10.1038/s41586-023-06735-9,Candidate Space Construction; Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_12a07aebcb53,paper_364d763e5978,task_e55c8a4f2b28,dataset_d55b16e3041b,26_MD_HIT.pdf,Materials Project,Materials Project (MP),"A large-scale computational materials database containing 125,619 crystal structures (with 89,354 unique compositions), each annotated with DFT-computed properties including formation energy per atom and band gap. The paper uses the full MP dataset to generate composition-based (86,740 unique compositions) and structure-based (123,108–125,619 CIFs) non-redundant subsets via MD-HIT algorithms; these subsets serve as benchmark datasets for training and evaluating ML models (Roost, CrabNet, ALIGNN, DeeperGATGNN) under controlled redundancy conditions for formation energy and band gap prediction.",https://materialsproject.org,Dataset Selection; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_ece85bbe823c,paper_364d763e5978,task_e55c8a4f2b28,dataset_876dcbb1c40c,26_MD_HIT.pdf,MatScholar embeddings,MatScholar embeddings,"A literature-derived word embedding for materials, generated from text mining of materials science publications, producing fixed-dimensional (e.g., 200D) feature vectors that encode periodic table structure and structure–property relationships. In this paper, MatScholar features are used to compute composition similarity (via Euclidean distance) for redundancy control in MD-HIT-composition, to define the MatscholarOOD test set (1000 most distant samples), and to analyze sample density–MAE correlations—supporting the task of identifying and mitigating redundancy-induced overfitting in composition-based property prediction.",https://doi.org/10.1038/s41586-019-1312-1,Problem Definition; Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_e7ae0cd3e5e4,paper_364d763e5978,task_e55c8a4f2b28,dataset_25d67dd6d824,26_MD_HIT.pdf,Mendeleev similarity metrics,Mendeleev similarity metrics,"A chemically derived composition similarity measure based on elemental properties (e.g., atomic radius, electronegativity) aligned with Mendeleev’s periodic table principles; implemented in the ElMD package. The paper uses Mendeleev distance to filter the Materials Project composition dataset into seven non-redundant subsets (Mendeleev-nr) with thresholds from 0.5 to 3.0, enabling systematic analysis of how chemical similarity–based redundancy control affects Roost and CrabNet performance on formation energy and band gap prediction.",https://doi.org/10.1021/acs.chemmater.0c02922,Dataset Selection; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_e39f8b7257a8,paper_364d763e5978,task_e55c8a4f2b28,dataset_03047ecfd3fa,26_MD_HIT.pdf,XRD features (from Pymatgen),XRD features (from Pymatgen),"X-ray diffraction (XRD) patterns computed from crystal structures using Pymatgen’s XRDCalculator, smoothed with Gaussian kernel and sampled at 900 evenly spaced 2θ angles (0–90°), yielding fixed-length 900D feature vectors. These features are used in MD-HIT-structure to define structural similarity and generate seven XRD-based non-redundant structure datasets (XRD-nr) for evaluating ALIGNN and DeeperGATGNN on formation energy and band gap prediction under controlled structural redundancy.",https://pymatgen.org,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_02aa41f7bc26,paper_364d763e5978,task_e55c8a4f2b28,dataset_bb3f8a1b6b1a,26_MD_HIT.pdf,OFM (Orbital Field Matrix) features,OFM (Orbital Field Matrix) features,Fixed-dimension (1024D) descriptors encoding electronic structure information—including electron distribution across atomic orbitals—derived from crystal structures. Used in MD-HIT-structure to compute structural distances and generate eight OFM-based non-redundant datasets (OFM-nr); supports the task of assessing how electronic-structure–driven redundancy control impacts OOD generalization in structure-based band gap and formation energy prediction.,https://doi.org/10.1038/s41524-022-00822-2,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_4ee42d9fb861,paper_1e2428d6caf8,task_081fca9963b9,dataset_bbb9b2c9c374,27_Virtual_Node_Phonon_Preprint.pdf,Materials Project Phonon Database (DFPT-based),Materials Project Phonon Database (DFPT-based),"A high-quality computational dataset containing phonon dispersion along high-symmetry paths for 1,521 semiconducting inorganic crystalline materials, generated using density-functional perturbation theory (DFPT). It includes atomic structures (primitive unit cells), second-order energy derivatives, and phonon frequencies (in cm⁻¹) at Γ and other high-symmetry k-points. This dataset was used as the primary training and validation source for all three VGNN models (VVN, MVN, k-MVN) to train phonon predictors—specifically for learning Γ-phonon spectra (VVN/MVN) and full band structures (k-MVN).",None,Dataset Selection; Representation / Feature Construction; Model Training; Screening / Prediction
dataset_use_2f265c920a57,paper_1e2428d6caf8,task_081fca9963b9,dataset_ec1f8697696a,27_Virtual_Node_Phonon_Preprint.pdf,PhononDB (Kyoto University),PhononDB (Kyoto University),"A publicly available phonon database curated by Atsushi Togo, containing frozen-phonon–calculated phonon dispersions for complex inorganic materials, many with large unit cells (>40 atoms). The authors selected 156 high-quality entries where the lowest Γ-phonon frequency exceeds −0.07 cm⁻¹ and unit cell size is ≥40 atoms. This dataset served exclusively as an out-of-distribution test set to evaluate generalization to structurally complex materials beyond the DFPT training domain, supporting robustness validation for all three VGNN models.",http://phonondb.mtl.kyoto-u.ac.jp/,Dataset Selection; Model Training; Screening / Prediction; Validation
dataset_use_881abd0f8652,paper_1e2428d6caf8,task_081fca9963b9,dataset_cf6d81744e01,27_Virtual_Node_Phonon_Preprint.pdf,Materials Project (MP) Γ-Phonon Database (VGNN-predicted),Materials Project (MP) Γ-Phonon Database (VGNN-predicted),"A large-scale, author-curated phonon database containing predicted Γ-point phonon spectra for 146,323 materials from the Materials Project (as of 2022), generated using the MVN model. Each entry includes MP ID, chemical formula, space group, CIF-formatted structure, number of atoms per unit cell, and a list of 3m predicted Γ-phonon frequencies (in cm⁻¹). This database was constructed post-training to enable high-throughput screening and materials design with engineered phonon properties, and is explicitly used to demonstrate scalability and real-world applicability of the method.",https://osf.io/k5utb/,Candidate Space Construction; Dataset Selection; Model Training; Screening / Prediction
dataset_use_339beba1dea4,paper_30ac315b16dd,task_933637998dc2,dataset_19d1b1004506,28_JARVIS_Leaderboard.pdf,JARVIS-DFT,JARVIS-DFT,"A high-throughput density functional theory (DFT) database containing computed properties for over 80,000 inorganic materials, including formation energies, bandgaps, elastic moduli, phonon spectra, and more. In this paper, JARVIS-DFT serves as the primary reference dataset for AI-based property prediction benchmarks (e.g., formation energy per atom, exfoliation energy) and as a source of ground-truth computational data for force-field and quantum computation benchmarking; its pre-split train/validation/test sets enable standardized model training and evaluation in the AI category.",https://jarvis.nist.gov/jarvisdft/,Dataset Selection; Model Training; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_25fa570bba6f,paper_30ac315b16dd,task_933637998dc2,dataset_3d1fc9ebc1ce,28_JARVIS_Leaderboard.pdf,JARVIS Database,JARVIS-Tools datasets,"A collection of integrated, versioned datasets hosted via JARVIS-Tools and backed up on Figshare, encompassing atomic structures (3D, 2D, amorphous), spectra (XRD, DOS, Eliashberg), STEM/STM images, text (arXiv corpus), and interatomic potentials. These datasets support multi-modal benchmarking across all leaderboard categories: e.g., STEM images for AI image classification, XRD spectra for spectral prediction, and arXiv text for text classification/generation tasks — each linked to specific json.zip benchmark files with DOIs and metadata.",https://pages.nist.gov/jarvis/databases/,Dataset Selection; Screening / Prediction; Validation; Benchmarking / Evaluation
dataset_use_2739e157a7e2,paper_30ac315b16dd,task_933637998dc2,dataset_d55b16e3041b,28_JARVIS_Leaderboard.pdf,Materials Project,Materials Project,"A publicly available DFT-derived database of thermodynamic and structural properties for over 140,000 inorganic compounds, used in this paper as one of several external atomic-structure datasets for AI benchmarking (e.g., formation energy prediction). It provides complementary coverage to JARVIS-DFT and supports cross-dataset analysis to assess model generalizability and avoid bias from single-source data distributions.",https://materialsproject.org,Dataset Selection; Screening / Prediction; Validation; Benchmarking / Evaluation
